 zip_code,lat,lng
36467,31.329662,-86.244961
36442,31.002794,-86.336791
36420,31.158381,-86.612816
36474,31.500432,-86.700407
36421,31.390562,-86.415684
36455,31.015529,-86.356732
36474,31.40273,-86.61282
36009,31.591052,-86.255523
36041,31.953015,-86.313511
36049,31.713469,-86.275554
35055,34.18702,-86.83544
35019,34.268095,-86.610417
35033,33.982032,-87.031676
35058,34.255977,-86.687859
35070,34.01281,-86.75116
35057,34.102694,-86.880989
35077,34.060725,-86.761626
35083,34.176893,-86.619025
35179,34.24357,-86.86485
35057,34.237327,-86.963253
35058,34.255022,-86.688246
35083,34.176252,-86.618657
35057,34.238493,-86.962237
35098,34.142628,-87.068463
35083,34.177198,-86.618645
36374,31.558842,-85.551573
36311,31.602767,-85.726602
36350,31.320654,-85.504214
36374,31.558955,-85.550857
36352,31.329975,-85.595732
36371,31.316801,-85.547169
36322,31.31601,-85.710273
36703,32.424772,-86.960467
36758,32.661814,-86.929631
36767,32.2429,-87.229309
36775,32.289981,-87.015119
36701,32.357952,-86.97167
35961,34.256124,-85.866638
35962,34.288674,-85.995781
35971,34.391421,-85.975128
35974,34.351037,-86.003186
35978,34.635053,-85.768006
35981,34.712183,-85.675401
35984,34.56699,-85.56893
35986,34.483609,-85.821856
35967,34.353716,-85.738578
35988,34.564347,-85.814263
35989,34.564117,-85.614128
35603,34.559541,-87.019685
35601,34.579939,-87.007743
36732,32.497525,-87.844747
36303,31.235999,-85.375118
36301,31.197562,-85.391894
36305,31.221092,-85.486815
36303,31.270779,-85.394713
36323,31.424426,-86.102653
36092,32.547487,-86.221644
36024,32.63383,-86.029566
36022,32.635561,-86.326071
36054,32.494232,-86.362438
36024,32.634311,-86.02537
36093,32.547746,-86.214973
36020,32.515794,-86.345093
36330,31.309952,-85.860368
36502,31.015286,-87.485051
36441,31.006006,-87.269883
36543,31.224372,-87.462281
36426,31.06033,-87.170527
36426,31.090811,-87.055339
36441,31.006675,-87.268202
36426,31.113939,-87.095651
36502,31.017819,-87.503628
35956,34.11841,-86.117172
35954,34.143711,-85.999562
35901,34.068314,-85.92684
35905,33.958219,-85.932142
35903,33.996221,-85.868973
35954,34.036104,-86.125504
35906,33.94479,-86.059875
35904,34.081424,-85.989319
35956,34.176264,-86.122861
35907,33.921892,-86.023259
35990,34.06343,-86.302303
35952,34.030573,-86.262207
35956,34.164772,-86.06884
35954,33.996329,-86.104866
35954,33.996329,-86.104862
35905,33.968552,-85.935204
35907,33.916526,-86.02041
